前提文	仮説文	正解ラベル
好き嫌いの目標設定について指導を行った。	好き嫌いの目標を設定することについて指導を行った。	entailment
好き嫌いの改善方法と目標設定について指導を行った。	好き嫌いを改善した。	neutral
好き嫌いの目標設定について指導を行った。	好き嫌いの目標を設定した。	neutral
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	左膝痛が出現した。	entailment
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院を受診した。	entailment
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	左膝痛が出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	entailment
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	右膝痛が出現した。	entailment
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院に入院した。	neutral
左膝痛出現したのち、右膝痛出現、徐々に増悪したため当院受診となった。	左膝痛出現したのち、右膝痛が出現、徐々に増悪したため当院受診となった。	entailment
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	壊死性筋膜炎により、左下腿切断に至った。	entailment
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	筋膜炎により、左下腿切断に至った。	entailment
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	好酸球性筋膜炎により、左下腿切断に至った。	neutral
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	蜂窩織炎により、左下腿切断に至った。	neutral
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	糖尿病性壊死性筋膜炎により、左下腿を切断した。	entailment
糖尿病性壊死性筋膜炎により、左下腿切断に至った。	糖尿病性壊死性筋膜炎により、右下腿を切断した。	neutral
義足が完成したため、歩行練習が可能となった。	義足が完成したため、歩行を練習することが可能となった。	entailment
義足が完成したため、歩行練習が可能となった。	義足が完成したため、歩行が可能となった。	neutral
両側下肢に筋萎縮を認めた。	両側の下肢に筋萎縮を認めた。	entailment
両側下肢に筋萎縮を認めた。	片側の下肢に筋萎縮を認めた。	entailment
両側下肢に筋萎縮を認めた。	両側下肢の筋が萎縮した。	entailment
両側下肢に筋萎縮を認めた。	両側下肢が萎縮した。	neutral
理学療法開始。	理学療法を開始した。	entailment
理学療法開始。	理学療法を終了した。	neutral
義足完成したため、立位保持練習を開始。	義足が完成したため、立位保持練習を開始。	entailment
義足完成したため、立位保持練習を開始。	義足完成したため、立位保持を練習開始。	entailment
義足完成したため、立位保持練習を開始。	義足完成したため、立位保持の練習を開始。	entailment
義足完成したため、立位保持練習を開始。	義足完成したため、立位を保持することを練習する。	entailment
義足完成したため、立位保持練習を開始。	義足完成したため、立位保持を練習した。	entailment
義足完成したため、立位保持練習を開始。	義足完成したため、立位を保持した。	neutral
義足完成したため、立位保持練習を開始。	義足完成したため、立位保持を開始した。	neutral
階段昇降の実施が可能となり、趣味活動再開や仕事復帰への希望が持てた。	階段昇降の実施が可能となり、趣味活動を再開することや仕事復帰への希望が持てた。	entailment
階段昇降の実施が可能となり、趣味活動再開や仕事復帰への希望が持てた。	階段昇降の実施が可能となり、趣味活動の再開や仕事復帰への希望が持てた。	entailment
階段昇降が可能となり、趣味活動再開や仕事復帰への希望が持てた。	階段を昇降することが可能となり、趣味活動再開や仕事復帰への希望が持てた。	entailment
階段昇降の実施が可能となり、趣味活動再開や仕事復帰への希望が持てた。	階段昇降の実施が可能となり、趣味活動再開や仕事に復帰することへの希望が持てた。	entailment
階段昇降の実施が可能となり、趣味活動再開や仕事復帰への希望が持てた。	趣味活動を再開した。	neutral
階段昇降の実施が可能となり、趣味活動再開や仕事復帰への希望が持てた。	仕事に復帰した。	neutral
脳性麻痺の診断を受け、外来リハビリ開始となる。	痙性対麻痺の診断を受け、外来リハビリ開始となる。	neutral
脳性麻痺の診断を受け、外来リハビリ開始となる。	脳性麻痺の診断を受け、外来リハビリを開始した。	entailment
脳性麻痺の診断を受け、外来リハビリ開始となる。	脳性麻痺の診断を受け、入院リハビリ開始となる。	neutral
課題設定を行なった。	課題を設定した。	entailment
母親は潰瘍性大腸炎に羅患した。	母親は大腸炎に羅患した。	entailment
母親は潰瘍性大腸炎に羅患した。	母親は出血性大腸炎に羅患した。	contradiction
急性呼吸器感染症で入院した。	呼吸器感染症で入院した。	entailment
急性呼吸器感染症で入院した。	感染症で入院した。	entailment
急性呼吸器感染症で入院した。	口腔感染症で入院した。	neutral
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習のみを行なった。	contradiction
つかまり立ちを認め、その後に独歩開始した。	つかまり立ちを認め、その後に独歩を終了した。	contradiction
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で立位練習のみを行なった。	contradiction
誤嚥性肺炎と診断された。	化学性肺炎と診断された。	neutral
誤嚥性肺炎と診断された。	肺炎と診断された。	entailment
検査の結果、振幅低下が認められた。	検査の結果、振幅が増大していた。	contradiction
検査の結果、振幅低下が認められた。	検査の結果、振幅が低下していた。	entailment
ECMO実施。	ECMOを実施した。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般の病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUに一般の病棟から転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	neutral
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位の練習と立位練習を行なった。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位と立位の練習を行なった。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位を練習した。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位の練習を行なった。	entailment
ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で座位練習と立位練習を行なった。	ICUから一般病棟に転棟してからは、病棟内のプレイルーム内で立位を練習した。	entailment
つかまり立ちを認め、その後に独歩開始した。	つかまり立ちを認め、その後に独歩を開始した。	entailment
筋力増強効果が報告された。	筋力を増強する効果が報告された。	entailment
筋力増強効果が報告された。	筋力を増強した。	neutral
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	entailment
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	患者に対して股関節外転筋のSTの効果と安全性を検討した。	entailment
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	慢性期の皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	entailment
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	皮膚筋炎の患者に対して股関節外転筋のSTの効果と安全性を検討した。	entailment
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	多発性筋炎の患者に対して股関節外転筋のSTの効果と安全性を検討した。	neutral
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	急性期の皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	neutral
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	慢性期皮膚筋炎患者に対して短母指外転筋のSTの効果と安全性を検討した。	neutral
慢性期皮膚筋炎患者に対して股関節外転筋のSTの効果と安全性を検討した。	慢性期皮膚筋炎患者に対して股関節内転筋のSTの効果と安全性を検討した。	neutral
慢性期皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	慢性期の皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	entailment
慢性期皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	entailment
慢性期皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	多発性筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	neutral
慢性期皮膚筋炎患者で、治療を目的に入院し、理学療法と作業療法を実施していた。	慢性期皮膚筋炎患者で、治療を目的に入院し、作業療法のみを実施していた。	contradiction
股関節外転筋に対して筋力増強訓練を実施した。	股関節の外転筋に対して筋力増強訓練を実施した。	entailment
股関節外転筋に対して筋力増強訓練を実施した。	母趾外転筋に対して筋力増強訓練を実施した。	neutral
股関節外転筋に対して筋力増強訓練を実施した。	股関節内転筋に対して筋力増強訓練を実施した。	neutral
股関節外転筋に対して筋力増強訓練を実施した。	股関節外転筋に対して筋力を増強した。	neutral
点滴でドパミン製剤投与開始した。	点滴でドパミン製剤を投与しなかった。	contradiction
電動車いすにてADLは自立していた。	車いすにてADLは自立していた。	entailment
電動車いすにてADLは自立していた。	電動車いすなしでADLは自立していた。	neutral
腸閉塞発症およびその合併症により前医入院となった。	腸閉塞を発症した。	entailment
腸閉塞発症およびその合併症により前医入院となった。	腸閉塞の発症およびその合併症により前医入院となった。	entailment
本院に入院する前からの腸閉塞発症およびその合併症により前医入院となった。	本院に入院する前からの腸閉塞発症およびその合併症により前医に入院となった。	entailment
本院に入院する前からの腸閉塞発症およびその合併症により前医入院となった。	本院に入院する前からの腸閉塞発症およびその合併症により本院に入院となった。	neutral
点滴でのドパミン製剤投与開始となった。	点滴でのドパミン製剤投与を開始した。	entailment
点滴でドパミン製剤投与開始した。	点滴でドパミン製剤を投与した。	entailment
点滴でドパミン製剤投与開始した。	ドパミン製剤を投与することを開始した。	entailment
点滴でドパミン製剤投与開始した。	ドパミン製剤投与を終了した。	neutral
徐々に点滴から内服でのドパミン製剤投与に移行した。	内服でドパミン製剤を投与した。	entailment
徐々に点滴から内服でのドパミン製剤投与に移行した。	点滴でドパミン製剤を投与した。	entailment
脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	脳性麻痺の患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	entailment
脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	脳性麻痺患者のはさみ足歩行は、ハムストリングス、内転筋、股関節屈筋の痙縮で生じる。	entailment
手術および理学療法の効果判定を行なった。	手術および理学療法の効果を判定した。	entailment
手術および理学療法の効果判定を行なった。	手術の効果を判定した。	entailment
手術および理学療法の効果判定を行なった。	理学療法の効果を判定した。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤が前方に傾斜した。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤が前傾した。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤が後方に傾斜した。	contradiction
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤が後傾した。	contradiction
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤前方傾斜に関しては、股関節の屈筋による張力増大により骨盤の位置変化が生じたと考える。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤前方傾斜に関しては、長母趾屈筋による張力増大により骨盤の位置変化が生じたと考える。	neutral
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	股関節屈筋により張力が増大した。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	股関節屈筋により張力が低下した。	contradiction
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置が変化した。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置が変わった。	entailment
骨盤前方傾斜に関しては、股関節屈筋による張力増大により骨盤の位置変化が生じたと考える。	股関節屈筋による張力増大により骨盤の位置が変化しなかった。	contradiction
脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、屈筋の痙縮で生じる。	entailment
脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	脳性麻痺患者のはさみ足歩行は、ハムストリングス、母趾内転筋、股関節屈筋の痙縮で生じる。	neutral
脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、股関節屈筋の痙縮で生じる。	脳性麻痺患者のはさみ足歩行は、ハムストリングス、股関節内転筋、長母趾屈筋の痙縮で生じる。	neutral
腰痛増強のため、整形外科受診し、入院となった。	腰痛が増強したため、整形外科受診し、入院となった。	entailment
腰痛増強のため、整形外科受診し、入院となった。	腰痛が改善した。	contradiction
腰痛増強のため、整形外来受診し、入院となった。	腰痛増強のため、整形外来を受診し、入院した。	entailment
腰痛増強のため、整形外来受診し、入院となった。	腰痛増強のため、外来を受診し、入院した。	entailment
腰痛増強のため、整形外来受診し、入院となった。	腰痛増強のため、整形外科に入院した。	entailment
理学療法開始。	理学療法を開始した。	entailment
理学療法開始。	理学療法を終了した。	contradiction
腸骨筋収縮によって疼痛軽減し、歩行獲得となった。	腸骨筋が収縮したことで疼痛軽減し、歩行獲得となった。	entailment
腸骨筋収縮によって疼痛軽減し、歩行獲得となった。	腸骨筋弛緩によって疼痛軽減し、歩行獲得となった。	contradiction
腸骨筋収縮によって疼痛軽減し、歩行獲得となった。	腸骨筋収縮によって疼痛が軽減し、歩行獲得となった。	entailment
腸骨筋収縮によって疼痛軽減し、歩行獲得となった。	腸骨筋収縮によって疼痛が増強した。	contradiction
腸骨筋収縮によって疼痛軽減し、歩行獲得となった。	腸骨筋収縮によって疼痛軽減し、歩行を獲得した。	entailment
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	後縦靱帯骨化症のみにより対麻痺を呈した。	contradiction
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	黄色靱帯骨化症のみにより対麻痺を呈した。	contradiction
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	後縦靱帯骨化症および黄色靱帯骨化症により脳性麻痺を呈した。	contradiction
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎の腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	entailment
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊髄腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	neutral
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎腫瘍により痙性対麻痺を呈し、椎体摘出術および置換術を施行された。	neutral
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎腫瘍により麻痺を呈し、椎体摘出術および置換術を施行された。	entailment
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎腫瘍により対麻痺を呈し、椎体を摘出した。	entailment
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎腫瘍により対麻痺を呈し、椎体を置換した。	entailment
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	後縦靱帯が骨化した。	entailment
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	黄色靱帯が骨化した。	entailment
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	OPLLおよび黄色靱帯骨化症により対麻痺を呈した。	entailment
後縦靱帯骨化症および黄色靱帯骨化症により対麻痺を呈した。	後縦靱帯骨化症および黄色靱帯骨化症により麻痺を呈した。	entailment
脊椎腫瘍により対麻痺を呈し、椎体摘出術および置換術を施行された。	脊椎腫瘍により四肢麻痺を呈し、椎体摘出術および置換術を施行された。	neutral
理学療法による介入は、嚥下障害、誤嚥予防、並びにADL改善に寄与する可能性を示した。	理学療法による介入は、誤嚥を予防することに寄与する可能性を示した。	entailment
理学療法による介入は、嚥下障害、誤嚥予防、並びにADL改善に寄与する可能性を示した。	理学療法による介入は、ADLを改善することに寄与する可能性を示した。	entailment
RA患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	関節リウマチ患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	entailment
RA患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	慢性関節リウマチ患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	neutral
RA患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	RAの患者に対し、ドミノ効果予防を考慮し靴型装具を作成する機会を得た。	entailment
ドミノ効果予防を考慮し、RA患者に対して靴型装具を作成する機会を得た。	ドミノ効果を予防することを考慮し、RA患者に対して靴型装具を作成する機会を得た。	entailment
ドミノ効果予防を考慮し、RA患者に対して靴型装具を作成する機会を得た。	ドミノ効果を防止した。	neutral
ドミノ効果予防を考慮し、RA患者に対して靴型装具を作成する機会を得た。	ドミノ効果予防を考慮し、RA患者に対して靴型の装具を作成する機会を得た。	entailment
ドミノ効果予防を考慮し、RA患者に対して靴型装具を作成する機会を得た。	ドミノ効果予防を考慮し、RA患者に対して足底装具を作成する機会を得た。	contradiction
ドミノ効果予防を考慮し、RA患者に対して靴型装具を作成する機会を得た。	ドミノ効果予防を考慮し、RA患者に対して下肢装具を作成する機会を得た。	neutral
右膝痛出現した。	右膝痛が出現した。	entailment
右膝痛出現した。	膝痛が出現した。	entailment
右膝痛出現した。	左膝痛が出現した。	neutral
右膝痛出現した。	左膝痛が消失した。	contradiction
右膝痛出現した。	右膝の痛みが消失した。	entailment
左足の関節に対し靴型装具作成開始。	左足の関節に対し靴型装具を作成することを開始した。	entailment
左足の関節に対し靴型装具作成開始。	左足の関節に対し靴型の装具を作成することを開始した。	entailment
左足の関節に対し靴型装具作成開始。	左足の関節に対し靴型装具作成を開始した。	entailment
左足の関節に対し靴型装具作成開始。	左足の関節に対し靴型装具を作成した。	entailment
左足の関節に対し靴型装具作成開始。	左足の関節に対し下肢装具を作成開始した。	neutral
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	左腰方形筋と右腰腸肋筋に疼痛を呈していた。	neutral
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	腰方形筋と右腰腸肋筋に疼痛を呈していた。	entailment
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	右腰方形筋と腰腸肋筋に疼痛を呈していた。	entailment
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	右腰方形筋と左腰腸肋筋に疼痛を呈していた。	neutral
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	右腰方形筋のみに疼痛を呈していた。	contradiction
右腰方形筋と右腰腸肋筋に疼痛を呈していた。	右腰腸肋筋のみに疼痛を呈していた。	contradiction
両斜角筋と両僧帽筋の緊張が亢進していた。	右斜角筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	左斜角筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	右斜角筋と右僧帽筋のみ緊張が亢進していた。	contradiction
両斜角筋と両僧帽筋の緊張が亢進していた。	右僧帽筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	左僧帽筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	左斜角筋と左僧帽筋のみ緊張が亢進していた。	contradiction
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛が出現し、他院で椎間板ヘルニアと診断される。	entailment
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛が消失し、他院で椎間板ヘルニアと診断される。	contradiction
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛出現し他院でヘルニアと診断される。	entailment
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛出現し他院で鼠径ヘルニアと診断される。	neutral
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が減少した。	contradiction
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛の減少が認められなくなった。	entailment
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が減少しなくなった。	entailment
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が増加した。	neutral
理学療法では運動療法による褥瘡予防が主なアプローチである。	理学療法では運動療法により褥瘡を予防することが主なアプローチである。	entailment
理学療法では運動療法による褥瘡予防が主なアプローチである。	理学療法では運動療法による褥瘡の予防が主なアプローチである。	entailment
理学療法では運動療法による褥瘡予防が主なアプローチである。	褥瘡が改善した。	neutral
理学療法では運動療法による褥瘡予防が主なアプローチである。	褥瘡を予防した。	neutral
機能改善手術にて歩行獲得を目指す。	機能を改善した。	neutral
患者は歩行獲得を目指す。	患者は歩行を獲得することを目指す。	entailment
患者は歩行獲得を目指す。	患者は歩行を獲得した。	neutral
患者は歩行獲得を目指す。	患者は歩行した。	neutral
左膝屈曲拘縮除去術を受けた。	左膝屈曲拘縮を除去した。	entailment
左膝屈曲拘縮除去術を受けた。	左膝の屈曲拘縮が改善した。	neutral
左膝屈曲拘縮除去術を受けた。	右膝屈曲拘縮を除去した。	neutral
左膝屈曲拘縮除去術を受けた。	左膝の屈曲拘縮を除去した。	entailment
患者は歩行未獲得であった。	患者は歩行を獲得した。	contradiction
患者は歩行未獲得であった。	患者は歩行を獲得しなかった。	entailment
患者は歩行未獲得であった。	患者は歩行した。	contradiction
患者は歩行未獲得であった。	患者は歩行しなかった。	entailment
姿勢コントロールが困難であった。	姿勢をコントロールすることが困難であった。	entailment
姿勢コントロールが困難であった。	姿勢をコントロールしなかった。	neutral
姿勢コントロールが困難であった。	姿勢をコントロールした。	neutral
